Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media
2024-02-14,0.0,2154.4615384615386,24.245833333333334,31.1,16.4,15.387500000000001,61.291666666666664,5.6,1.5666666666666667
2024-02-15,2.0,1313.5923076923077,22.25,30.2,17.8,17.383333333333333,75.16666666666667,7.1,1.5208333333333333
2024-02-16,8.2,1071.3846153846155,21.75,26.6,19.3,18.779166666666665,83.95833333333333,7.9,1.3958333333333333
2024-02-17,9.2,1097.2384615384615,21.491666666666664,27.6,18.7,18.808333333333334,85.625,9.3,2.0875
2024-02-18,6.2,1492.076923076923,22.058333333333334,28.0,19.2,19.0125,83.83333333333333,11.5,2.2666666666666666
2024-02-19,0.8,1424.3769230769233,21.279166666666665,26.6,18.4,18.808333333333334,86.75,9.0,2.558333333333333
2024-02-20,11.2,590.7153846153846,20.408333333333335,22.8,19.0,19.391666666666666,94.0,8.0,2.591666666666667
2024-02-21,2.4,1009.176923076923,20.75,25.1,19.0,19.154166666666665,91.16666666666667,6.8,2.0833333333333335
2024-02-22,0.0,1641.569230769231,21.825,27.5,18.2,18.745833333333334,83.95833333333333,8.4,2.3375
2024-02-23,7.0,1350.1307692307694,21.675,28.2,19.2,19.070833333333333,86.0,9.4,2.216666666666667
2024-02-24,0.0,1849.576923076923,22.96666666666667,29.5,19.0,18.712500000000002,78.75,9.6,2.0833333333333335
2024-02-25,0.0,1939.3384615384616,23.304166666666664,29.3,17.6,17.95,73.5,8.9,2.4499999999999997
2024-02-26,0.0,2145.8384615384616,23.008333333333336,27.9,16.4,15.762500000000001,66.5,8.6,2.6125000000000003
2024-02-27,0.0,2035.4461538461537,22.920833333333334,29.3,15.8,15.333333333333334,64.5,7.0,1.9791666666666667
2024-02-28,0.0,1956.6307692307694,23.991666666666664,30.9,16.6,16.5,66.0,5.7,1.625
2024-02-29,0.0,1644.5615384615385,24.795833333333334,32.1,17.9,17.066666666666666,64.25,6.7,1.3291666666666666
2024-03-01,0.0,1496.223076923077,23.962500000000002,30.8,19.3,18.866666666666667,74.875,9.8,1.6333333333333335
2024-03-02,0.4,1289.2692307692307,22.9875,30.5,19.1,18.95,79.95833333333333,8.4,1.325
2024-03-03,1.0,1129.7,21.2375,29.4,17.7,18.608333333333334,85.70833333333333,8.7,1.6875
2024-03-04,3.0,920.1461538461538,21.125,26.9,18.8,18.483333333333334,85.5,5.7,1.5833333333333333
2024-03-05,1.4000000000000001,1338.576923076923,21.9875,27.9,18.2,18.295833333333334,81.125,9.5,2.2333333333333334
2024-03-06,0.0,1518.6166666666668,22.98695652173913,28.8,19.4,18.81304347826087,78.6086956521739,7.0,1.7173913043478262
2024-03-07,7.2,1944.9538461538464,23.175,28.2,18.8,18.783333333333335,78.33333333333333,11.1,1.9833333333333334
2024-03-08,0.0,1784.5230769230768,24.620833333333334,30.3,19.4,18.408333333333335,69.875,6.7,2.004166666666667
2024-03-09,0.0,1587.7923076923075,23.695833333333336,30.0,19.1,19.091666666666665,76.91666666666667,7.7,1.5125
