data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,mes,dia_semana
2023-07-04,0,0,0.0,1574.0916666666665,18.566666666666663,25.3,10.4,7.425,50.083333333333336,7.9,2.3541666666666665,2.0,2.0,0.0,18.454761904761906,7,1
2023-07-05,3,1,0.0,1580.1666666666667,17.5625,23.5,11.0,7.808333333333334,54.0,7.5,2.716666666666667,2.0,2.0,0.0,18.35892857142857,7,2
2023-07-06,0,0,0.0,1557.3666666666666,17.662499999999998,24.2,11.2,6.583333333333333,49.958333333333336,6.0,2.316666666666667,3.0,5.0,0.0,18.080357142857142,7,3
2023-07-07,2,1,0.0,1515.8916666666669,17.291666666666668,25.1,9.4,7.016666666666667,54.79166666666666,5.6,1.4,3.0,5.0,0.0,18.116666666666667,7,4
2023-07-08,0,0,0.0,1487.7583333333332,18.4125,27.5,10.3,8.166666666666666,54.708333333333336,7.0,1.4291666666666665,5.0,7.0,0.0,17.98333333333333,7,5
2023-07-09,0,0,0.0,1270.875,18.566666666666663,27.4,11.8,8.120833333333334,54.583333333333336,6.0,1.125,2.0,7.0,0.0,17.879166666666666,7,6
2023-07-10,4,1,0.0,1555.85,19.6,28.6,11.5,7.179166666666667,49.333333333333336,6.8,1.5375,2.0,5.0,0.0,18.02559523809524,7,0
2023-07-11,0,0,0.0,1370.2583333333334,20.17083333333333,28.6,11.5,8.508333333333333,50.04166666666666,6.5,1.5541666666666665,4.0,9.0,0.0,18.2375,7,1
2023-07-12,2,1,0.0,1354.0,20.820833333333333,28.1,13.9,9.783333333333331,52.29166666666666,6.7,1.3875,4.0,9.0,0.0,18.466666666666665,7,2
2023-07-13,0,0,0.0,1328.3916666666669,21.2625,29.9,14.2,8.604166666666666,47.333333333333336,8.1,1.4625,6.0,8.0,0.0,18.932142857142857,7,3
2023-07-14,0,0,0.0,1238.8333333333333,19.6125,27.6,14.7,12.020833333333334,62.958333333333336,7.0,2.033333333333333,2.0,8.0,0.0,19.446428571428573,7,4
2023-07-15,0,0,0.0,1418.3083333333334,19.89583333333333,27.9,11.8,11.604166666666666,61.708333333333336,7.6,2.0458333333333334,2.0,6.0,0.0,19.77797619047619,7,5
2023-07-16,0,0,0.0,1336.875,21.791666666666668,28.5,14.2,11.35,54.66666666666666,5.9,1.6583333333333332,0.0,6.0,0.0,19.98988095238095,7,6
2023-07-17,0,0,0.0,1166.0166666666669,22.17083333333333,29.1,16.3,11.625,52.91666666666666,6.5,1.6375,0.0,6.0,0.0,20.45059523809524,7,0
2023-07-18,0,0,0.0,1474.2916666666667,22.254166666666663,28.9,14.8,9.6375,46.91666666666666,8.0,1.95,0.0,2.0,0.0,20.817857142857143,7,1
2023-07-19,0,0,0.0,1478.7583333333332,22.241666666666664,28.7,14.2,8.15,42.66666666666666,8.1,2.3625000000000003,0.0,2.0,0.0,21.11547619047619,7,2
2023-07-20,0,0,0.0,1493.6083333333331,20.10833333333333,25.1,15.7,9.408333333333331,50.833333333333336,11.5,3.9416666666666655,0.0,0.0,0.0,21.31845238095238,7,3
