data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,humidade_7d,mes,dia_semana
2008-01-20,0,0,0.0,1940.5615384615385,22.9875,29.0,18.6,16.9375,71.16666666666667,7.2,1.8625,0.0,0.0,64.0,20.87142857142857,77.73214285714286,1,6
2008-01-21,0,0,21.6,1182.3538461538462,20.570833333333333,25.5,16.8,16.233333333333334,77.70833333333333,7.9,2.441666666666667,0.0,0.0,63.80000000000001,21.1875,75.94047619047618,1,0
2008-01-22,0,0,11.2,945.0076923076924,20.65833333333333,24.4,17.7,17.416666666666668,81.95833333333333,8.2,2.0500000000000003,0.0,0.0,85.4,21.013690476190476,76.66071428571429,1,1
2008-01-23,0,0,3.4,1001.7846153846152,19.991666666666667,23.9,17.3,17.1375,83.875,7.0,1.4708333333333332,0.0,0.0,95.60000000000001,20.933333333333334,78.47619047619048,1,2
2008-01-24,0,0,5.0,1186.4076923076923,20.329166666666666,24.8,18.3,17.875,86.33333333333333,11.3,2.2416666666666667,0.0,0.0,71.60000000000001,20.7625,79.79761904761905,1,3
2008-01-25,0,0,12.2,958.6,20.875,25.5,16.3,18.204166666666666,85.5,7.5,1.7333333333333334,0.0,0.0,59.6,20.93154761904762,80.1547619047619,1,4
2008-01-26,0,0,6.4,732.0384615384615,19.53333333333333,23.4,17.9,17.875,90.29166666666669,7.5,2.0083333333333333,0.0,0.0,53.400000000000006,21.00357142857143,80.57738095238095,1,5
2008-01-27,0,0,17.0,904.8076923076924,19.104166666666668,23.1,16.8,16.958333333333332,87.625,10.0,1.7833333333333334,0.0,0.0,59.800000000000004,20.70654761904762,82.40476190476191,1,6
2008-01-28,0,0,10.8,1301.776923076923,20.166666666666668,25.4,17.0,16.8,81.875,10.3,2.4541666666666666,0.0,0.0,76.80000000000001,20.151785714285715,84.75595238095238,1,0
2008-01-29,0,0,2.4,741.5923076923077,19.366666666666667,20.9,17.7,17.291666666666668,87.875,8.7,2.6083333333333334,0.0,0.0,66.0,20.09404761904762,85.35119047619047,1,1
2008-01-30,0,0,7.0,958.4153846153846,19.15,22.7,17.9,17.516666666666666,90.5,10.5,3.25,0.0,0.0,57.20000000000001,19.90952380952381,86.19642857142857,1,2
2008-01-31,0,0,1.0,1236.569230769231,20.025,25.3,17.5,17.51666666666667,86.04166666666667,10.9,3.158333333333333,0.0,0.0,60.80000000000001,19.789285714285715,87.14285714285714,1,3
2008-02-01,0,0,0.2,1584.953846153846,21.2375,27.0,18.6,18.229166666666668,83.70833333333333,8.1,2.9125,0.0,0.0,56.80000000000001,19.745833333333334,87.10119047619048,2,4
2008-02-02,0,0,4.2,1288.5076923076922,20.808333333333334,26.3,18.7,18.529166666666665,87.45833333333333,10.0,2.5083333333333333,0.0,0.0,44.800000000000004,19.797619047619047,86.84523809523809,2,5
2008-02-03,0,0,8.2,1427.1307692307694,19.9375,24.5,18.2,18.054166666666667,89.41666666666667,12.4,4.441666666666666,0.0,0.0,42.60000000000001,19.979761904761908,86.44047619047619,2,6
2008-02-04,0,0,0.0,1628.6230769230767,21.120833333333334,26.3,18.0,17.266666666666666,80.08333333333333,11.5,3.154166666666667,0.0,0.0,33.80000000000001,20.098809523809525,86.69642857142857,2,0
2008-02-05,0,0,8.600000000000001,985.1846153846152,20.3375,26.1,17.7,17.833333333333332,86.08333333333333,9.2,1.7083333333333333,0.0,0.0,23.000000000000007,20.235119047619044,86.44047619047619,2,1
2008-02-06,0,0,10.0,827.6615384615385,19.308333333333334,22.3,17.3,17.337500000000002,88.625,9.0,1.3166666666666669,0.0,0.0,29.20000000000001,20.373809523809523,86.18452380952382,2,2
2008-02-07,0,0,12.6,1017.8846153846154,19.725,23.9,17.2,17.279166666666665,86.33333333333333,8.1,1.1541666666666666,0.0,0.0,32.20000000000001,20.396428571428572,85.91666666666667,2,3
2008-02-08,0,0,0.0,1513.5307692307692,21.166666666666668,26.1,18.3,17.004166666666666,78.54166666666667,8.6,1.7583333333333335,0.0,0.0,43.80000000000001,20.353571428571428,85.95833333333333,2,4
2008-02-09,0,0,0.0,2154.9538461538464,22.85,28.4,17.4,15.829166666666666,67.45833333333333,6.9,1.8958333333333333,0.0,0.0,43.60000000000001,20.34345238095238,85.2202380952381,2,5
2008-02-10,0,0,0.0,1905.1307692307691,23.820833333333336,28.8,17.2,15.1625,59.79166666666666,6.9,1.6416666666666666,0.0,0.0,39.400000000000006,20.635119047619046,82.36309523809523,2,6
