Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,humidade_media,vento_rajada_max,vento_vel_media
2025-01-24,0.0,2051.853846153846,23.675,29.1,19.6,70.83333333333333,9.2,2.6333333333333333
2025-01-25,0.0,2123.992307692308,24.170833333333334,29.9,17.4,66.20833333333333,8.4,1.9625000000000001
2025-01-26,0.0,1919.625,23.47391304347826,29.5,18.0,73.1304347826087,6.4,1.7130434782608694
2025-01-27,0.0,1139.0923076923077,22.075,26.5,17.9,79.58333333333333,8.0,1.4375
2025-01-28,0.0,1308.223076923077,22.208333333333332,27.3,17.7,79.66666666666667,6.9,1.4958333333333333
2025-01-29,0.0,1138.823076923077,22.308333333333334,29.5,18.5,80.125,8.4,1.3833333333333335
2025-01-30,3.6,1477.3769230769233,21.7625,26.9,17.8,81.5,8.9,2.3291666666666666
2025-01-31,6.4,1191.9615384615386,21.17083333333333,26.9,18.4,85.875,13.0,2.3625000000000003
2025-02-01,4.2,1219.75,20.833333333333332,26.5,18.2,86.66666666666667,9.0,2.7125
2025-02-02,25.2,1404.5142857142857,20.75,25.5,17.9,87.25,10.6,2.9625
2025-02-03,4.4,1427.9,21.412499999999998,26.8,19.1,83.08333333333333,10.4,2.4166666666666665
2025-02-04,0.0,1203.5923076923077,21.854166666666668,27.2,17.7,79.5,7.7,1.6583333333333332
2025-02-05,0.4,1869.453846153846,23.0,28.4,17.5,69.875,8.8,2.0
2025-02-06,0.0,2261.484615384615,23.1875,28.8,15.6,60.666666666666664,7.7,2.0375
2025-02-07,0.0,2174.5538461538463,23.583333333333332,29.1,16.4,59.583333333333336,8.0,2.5500000000000003
2025-02-08,0.0,2137.253846153846,22.991666666666664,29.5,16.7,66.91666666666667,9.7,2.5083333333333333
2025-02-09,0.0,1363.6538461538462,22.15833333333333,26.0,19.5,72.75,9.8,3.2541666666666664
2025-02-10,3.0,1527.9615384615386,22.375,27.5,18.9,72.625,9.4,2.966666666666667
2025-02-11,13.0,848.4833333333332,20.90869565217391,25.0,17.5,83.3913043478261,9.4,2.143478260869565
2025-02-12,1.4000000000000001,1753.1307692307694,21.175,27.9,16.8,80.79166666666667,8.2,1.8041666666666665
2025-02-13,0.0,2054.507692307692,23.075,29.5,18.5,71.16666666666667,7.5,2.091666666666667
2025-02-14,0.0,2175.346153846154,23.579166666666666,30.5,17.5,69.33333333333333,6.5,1.6083333333333334
2025-02-15,29.0,1885.642857142857,23.329166666666666,30.4,17.5,72.95833333333333,8.1,1.8125
2025-02-16,13.0,1471.0461538461536,21.462500000000002,28.3,18.0,84.04166666666667,11.0,1.8708333333333333
2025-02-17,2.6,1937.5923076923077,22.825,29.6,17.7,74.125,7.5,1.8541666666666667
2025-02-18,0.0,2080.869230769231,23.866666666666664,32.6,16.7,60.75,7.3,1.5541666666666665
2025-02-19,0.0,2062.9076923076923,24.025000000000002,30.7,17.2,60.791666666666664,8.0,1.9625000000000001
2025-02-20,0.0,1967.5307692307692,24.40833333333333,29.8,16.9,48.75,8.8,2.35
2025-02-21,0.0,2134.3615384615387,23.575,30.4,15.9,59.5,9.5,2.3375
2025-02-22,0.0,1938.323076923077,24.104166666666668,29.8,17.7,60.875,8.9,2.3125
2025-02-23,0.0,1969.107692307692,24.087500000000002,30.3,16.8,62.75,8.0,1.9708333333333332
2025-02-24,0.0,1363.1153846153845,23.704166666666666,28.9,19.4,67.625,8.4,2.1416666666666666
2025-02-25,1.5999999999999999,1423.4538461538464,21.724999999999998,28.6,18.8,82.20833333333333,10.7,2.0166666666666666
2025-02-26,0.0,1720.9615384615386,23.03333333333333,28.3,19.8,69.25,10.6,2.6041666666666665
2025-02-27,0.0,2053.623076923077,23.64782608695652,29.5,18.5,65.21739130434783,9.0,2.3217391304347825
2025-02-28,0.0,1942.3846153846155,23.354166666666668,29.0,17.3,63.958333333333336,9.6,2.9125
2025-03-01,0.0,1253.146153846154,22.23478260869565,26.2,19.3,70.69565217391305,10.0,3.4869565217391307
2025-03-02,0.0,1288.2307692307693,21.558333333333334,26.8,18.5,72.5,9.0,3.2458333333333336
2025-03-03,0.0,1727.5461538461536,22.9375,28.2,18.7,67.29166666666667,9.1,3.029166666666667
2025-03-04,0.0,2060.8923076923074,23.3,28.7,18.6,64.16666666666667,11.1,3.4791666666666665
2025-03-05,0.0,1432.6538461538462,22.4875,25.9,17.9,64.66666666666667,10.0,3.4791666666666665
2025-03-06,0.0,1689.45,21.969565217391306,28.1,18.2,71.04347826086956,9.9,3.282608695652174
2025-03-07,0.0,2087.484615384615,22.870833333333334,28.7,17.9,65.125,9.3,3.1875
2025-03-08,0.0,1915.7307692307693,23.633333333333336,30.6,18.6,59.833333333333336,9.0,2.3375
2025-03-09,0.0,1654.7307692307693,23.645833333333332,30.0,16.4,59.166666666666664,6.9,1.7666666666666666
2025-03-10,0.0,1884.3769230769233,24.316666666666666,31.1,15.9,51.416666666666664,5.6,1.6541666666666668
2025-03-11,0.0,1775.3307692307692,24.079166666666666,31.9,17.9,59.458333333333336,6.6,1.6708333333333334
2025-03-12,0.2,1319.0230769230768,23.3,30.8,19.5,69.75,8.4,1.4000000000000001
